review_text;title;language;language_detected_context;language_detected_full;language_majority_lang;language_majority_percentage;review_text_preprocessed;razonamiento_corto;etiqueta;estado_etiquetado
We chose Araya for the tours in São Pedro de Atacama. Everything was very punctual and very organized. Due to problems with our flight to Calama we missed two tours and the agency reimbursed us for everything we were unable to do. We are super satisfied and recommend Araya for the Atacama experience but also for the Salar de Uyuni which we were unable to book with them, but we saw that the friends who did were very well looked after.;Family trip;en;en;en;en;0.8894309624615293;We chose Araya for the tours in São Pedro de Atacama. Everything was very punctual and very organized. Due to problems with our flight to Calama we missed two tours and the agency reimbursed us for everything we were unable to do. We are super satisfied and recommend Araya for the Atacama experience but also for the Salar de Uyuni which we were unable to book with them, but we saw that the friends who did were very well looked after.;Step 1: management. Step 2: no future gap. Step 3: no actionable change. The review expresses satisfaction and a recommendation without requesting improvements.;NON-SUGGESTION;ok
Worth a walk through and is a typically styled Latin plaza. It's well maintained and there are local artisans selling their wares on a sidewalk adjacent the square.;A nice plaza;en;en;en;en;0.873894691809065;Worth a walk through and is a typically styled Latin plaza. It's well maintained and there are local artisans selling their wares on a sidewalk adjacent the square.;Step 1: Tourist describing experience to others. Step 2: No gap between current state and desired future state. Step 3: No actionable request for change. NON-SUGGESTION;NON-SUGGESTION;ok
Very punctual and friendly, impeccable self, safe driving. Book the same day and it was no problem. And very good price.;Good service;en;en;en;en;0.8484846470054624;Very punctual and friendly, impeccable self, safe driving. Book the same day and it was no problem. And very good price.;Step 1: Tourist. Step 2: No future gap (past facts/compliments). Step 3: No actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
We has a really nice hike to the Villarica Volcano! The guides are super super nice and experienced! We always felt safe during this hike! After the hike we had some cervezas with the guides in the office and recieved really good recommendations for restaurants in Pucon! Thank you for everything Review of: Terra Volcano Pucon - Climbing Volcano Villarrica thank you for sharing with us this beautiful experience, we are looking forward to your return for a new adventure in the mountains.;Perfect hike to the volcano;en;en;en;en;0.754386402999776;We has a really nice hike to the Villarica Volcano! The guides are super super nice and experienced! We always felt safe during this hike! After the hike we had some cervezas with the guides in the office and recieved really good recommendations for restaurants in Pucon! Thank you for everything Review of: Terra Volcano Pucon - Climbing Volcano Villarrica thank you for sharing with us this beautiful experience, we are looking forward to your return for a new adventure in the mountains.;Step 1: Tourists. Step 2: No future gap. Step 3: No actionable change. NON-SUGGESTION;NON-SUGGESTION;ok
To complete a wonderful day, doing hiking to the Cerro Cristóbal and having later a Glas of beer enjoying the sunset a Sky Costanera! I guess - by exception - they offering a glass of wine. Sunset, extraordinary overview of the town, glass of wine ... that’s how it should be!;Im richtigen Moment ...;en;en;en;en;0.9007016926876312;To complete a wonderful day, doing hiking to the Cerro Cristóbal and having later a Glas of beer enjoying the sunset a Sky Costanera! I guess - by exception - they offering a glass of wine. Sunset, extraordinary overview of the town, glass of wine ... that’s how it should be!;Step 1: Tourist talking to management (implied via desire for change). Step 2: Expresses a gap between current practice (beer) and desired outcome (wine). Step 3: Suggests a concrete change in service offerings. Conclusion: SUGGESTION;SUGGESTION;ok
With sun all over the time we came here to see this natural wonder. We left from Puerto Natales and came here by boat. A beautiful place and the history about Juan Ladrillero who gave this place its name is very interesting, as he thought that this was hit las opportunity to get to the Strait of Magellan. Perfect for a day trip.;We were lucky;en;en;en;en;0.7741938282873246;With sun all over the time we came here to see this natural wonder. We left from Puerto Natales and came here by boat. A beautiful place and the history about Juan Ladrillero who gave this place its name is very interesting, as he thought that this was hit las opportunity to get to the Strait of Magellan. Perfect for a day trip.;Step 1: tourists. Step 2: no future gap. Step 3: no actionable change. NON-SUGGESTION;NON-SUGGESTION;ok
Space occupied by sellective stores by category of goods / low custom duties offer best price value for electronics, clothing, etc. Yet records high 19% VAT on sales.;Great shopping Center / Brand stores / food / movies;en;en;en;en;0.9032257201462748;Space occupied by sellective stores by category of goods / low custom duties offer best price value for electronics, clothing, etc. Yet records high 19% VAT on sales.;Step 1: Tourists/management (describes situation without direct address). Step 2: No future gap (points out current discrepancy but no explicit desire for change). Step 3: Not actionable (criticizes VAT without requesting modification). NON-SUGGESTION;NON-SUGGESTION;ok
Post cruise, four of us wanted a private tour of Valparaiso, Vina del Mar and Santiago. Hector arranged the whole thing. As much as time allowed, I think we hit all the high points. The first concern in a foreign country is trusting the tour company you are working with. Hector has received the accolades and they are well deserved. The financial part of the transaction was clear and secure. He gave us many options and told us what it would cost immediately which we appreciated. The second best part about Hector is his willingness to tailor the tours to the needs of his clients. We were an active two couples so we very much wanted to walk the streets of Valparaiso to see the city first hand. Our tour guide in Valparaiso was wonderful. He even went off script as we were heading to Santiago for the night. He knew we had time to spare so we stopped in a Chilean winery for a sip of vino and a snack before driving the final half an hour to our hotel. The second day of our two-day tour we had Hector himself. His knowledge of the city was phenomenal. In addition to seeing the usual sights we also went into Argentina's version of the stock market. Again, his willingness to go off script and allow us to spend extra time at the Museo De La Memoria Y Las Perechos Humanos documenting the people who disappeared following Allende's overthrow my General Pinochet. Hector went above and beyond. Our tour was supposed to be over at 4:00 pm but there was Hector showing us a few last sights before 6:00 pm. Bravo Hector.;Hit the High Points;en;en;en;en;0.9300248864640694;Post cruise, four of us wanted a private tour of Valparaiso, Vina del Mar and Santiago. Hector arranged the whole thing. As much as time allowed, I think we hit all the high points. The first concern in a foreign country is trusting the tour company you are working with. Hector has received the accolades and they are well deserved. The financial part of the transaction was clear and secure. He gave us many options and told us what it would cost immediately which we appreciated. The second best part about Hector is his willingness to tailor the tours to the needs of his clients. We were an active two couples so we very much wanted to walk the streets of Valparaiso to see the city first hand. Our tour guide in Valparaiso was wonderful. He even went off script as we were heading to Santiago for the night. He knew we had time to spare so we stopped in a Chilean winery for a sip of vino and a snack before driving the final half an hour to our hotel. The second day of our two-day tour we had Hector himself. His knowledge of the city was phenomenal. In addition to seeing the usual sights we also went into Argentina's version of the stock market. Again, his willingness to go off script and allow us to spend extra time at the Museo De La Memoria Y Las Perechos Humanos documenting the people who disappeared following Allende's overthrow my General Pinochet. Hector went above and beyond. Our tour was supposed to be over at 4:00 pm but there was Hector showing us a few last sights before 6:00 pm. Bravo Hector.;Step 1: management. Step 2: no future gap (satisfaction with existing service). Step 3: no actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
We used Ecoturismolaserena as our tour guide. They pick you up where you are staying and drop you back off. We were picked up late because they go from place to place to pick people up and of course some are late. The guide spoke great English and answered all questions. They stopped the bus/van if there were animals (and there were) to allow you take photos on the way. The boat Captain did a great job of moving from side to side to allow all to see the different fish. GREAT JOB;Isla Great;en;en;en;en;0.8717949152221364;We used Ecoturismolaserena as our tour guide. They pick you up where you are staying and drop you back off. We were picked up late because they go from place to place to pick people up and of course some are late. The guide spoke great English and answered all questions. They stopped the bus/van if there were animals (and there were) to allow you take photos on the way. The boat Captain did a great job of moving from side to side to allow all to see the different fish. GREAT JOB;Step 1: tourists. Step 2: no future gap (describes past events and praise). Step 3: no actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
Totally awe-inspiring place. I liked everything, except the difficulties to arrive there.But it really is worthy.;The best;en;en;en;en;0.8510607968276246;Totally awe-inspiring place. I liked everything, except the difficulties to arrive there.But it really is worthy.;Step 1: Tourists. Step 2: No future gap (past complaint without request). Step 3: No actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
Spectacular! The tour is free, very friendly all the staff! I would definitely come back and recommend everyone 🥂 Tastings of all the piscos and also a sweet deli deli wine! Congratulations to everyone!;GREAT, SPEECHLESS!;en;en;en;en;0.9735497631961112;Spectacular! The tour is free, very friendly all the staff! I would definitely come back and recommend everyone 🥂 Tastings of all the piscos and also a sweet deli deli wine! Congratulations to everyone!;Step 1: tourists. Step 2: no. Step 3: no. NON-SUGGESTION;NON-SUGGESTION;ok
Our very good English speaking guide Luciana has made the excursion to highlights of the Atacama Desert with her competent and humorous manner a special experience. Our excellent driver Andrés also prepared a wonderful breakfast with fresh scrambled eggs and an unexpectedly good lunch. The day was a lot of fun! Review of: Full Day Tour to Piedras Rojas, Altiplanic Lagoons and Chaxa;Great guide, great driver, great photo subjects!;en;en;en;en;0.7013254934384031;Our very good English speaking guide Luciana has made the excursion to highlights of the Atacama Desert with her competent and humorous manner a special experience. Our excellent driver Andrés also prepared a wonderful breakfast with fresh scrambled eggs and an unexpectedly good lunch. The day was a lot of fun! Review of: Full Day Tour to Piedras Rojas, Altiplanic Lagoons and Chaxa;Step 1: tourists. Step 2: no future gap. Step 3: no actionable change. NON-SUGGESTION;NON-SUGGESTION;ok
Excellent experience the pukarumi team composed of Orlando, Anselmo and Francisco, very professional, there is a lot of wisdom recommended 100%....slds from carob Review of: Tour to the Hidden Lagoons of Baltinache;Class A experience;en;en;en;en;0.7942515389837915;Excellent experience the pukarumi team composed of Orlando, Anselmo and Francisco, very professional, there is a lot of wisdom recommended 100%....slds from carob Review of: Tour to the Hidden Lagoons of Baltinache;Step 1: Tourist talking to others (advice to potential tourists). Step 2: No explicit desire for change. Step 3: Compliment with no actionable request for management. NON-SUGGESTION;NON-SUGGESTION;ok
Very good tour, interesting and entertaining. Includes pisco sour shot at the beginning and end of pisco tasting. Francisca, the Guide who made the tour, very friendly and knows a lot!;Excellent tour Pisquera Dona Josefa;en;en;en;en;0.8333334350697607;Very good tour, interesting and entertaining. Includes pisco sour shot at the beginning and end of pisco tasting. Francisca, the Guide who made the tour, very friendly and knows a lot!;Step 1: tourists. Step 2: no future gap. Step 3: no actionable change. Conclusion: NON-SUGGESTION;NON-SUGGESTION;ok
Exceptional tour with Diego. Thank you so much! Interesting tour of the Valparaiso hills. Highly recommended the freetour;Valpo;en;en;en;en;1.0;Exceptional tour with Diego. Thank you so much! Interesting tour of the Valparaiso hills. Highly recommended the freetour;Step 1: Tourists (comentarios a otros viajeros). Step 2: No future gap (comentarios de satisfacción). Step 3: No actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
The free tour essential with Allie was awesome! Great knowledge & excellent English. I fully recommend the tour for everyone coming to Santiago. Review of: The best walking tour in Santiago de Chile;Free tour Essencial;en;en;en;en;1.0;The free tour essential with Allie was awesome! Great knowledge & excellent English. I fully recommend the tour for everyone coming to Santiago. Review of: The best walking tour in Santiago de Chile;Step 1: tourists. Step 2: no future gap. Step 3: no actionable change. NON-SUGGESTION (advice to others, compliments).;NON-SUGGESTION;ok
best service, food, assistance, everything! we love too much and already want more experiences with this amazing agency!;The best;en;en;en;en;0.8985509650650123;best service, food, assistance, everything! we love too much and already want more experiences with this amazing agency!;Step 1: Tourists. Step 2: No future gap (compliments). Step 3: No actionable change. NON-SUGGESTION;NON-SUGGESTION;ok
It was great the sunset in the vineyard! We had a previous tour with Nelson, who guided all the activity and carried a 7.0 with the whole group. We learned a lot from the different strains, their origins, history, among others. In short it was a beautiful evening, we must definitely repeat it!;Wine & Sunset wonderful experience;en;en;en;en;0.8698631910707358;It was great the sunset in the vineyard! We had a previous tour with Nelson, who guided all the activity and carried a 7.0 with the whole group. We learned a lot from the different strains, their origins, history, among others. In short it was a beautiful evening, we must definitely repeat it!;Step 1: tourists. Step 2: no. Step 3: no. The review praises the experience and recommends it to others but does not explicitly request changes to management.;NON-SUGGESTION;ok
Since our tour to isla Magdalena was cancelled due to strong winds , we had to find alternative activities for the day. At the plaza the tourist office staff was very helpful in helping planning the day. Nice to spend some time at the plaza with all the locals between the souvenir stands and he statue of Hernando de Magelhanes.;Good tourist information center and some souvenir stands;en;en;en;en;0.9894489116665492;Since our tour to isla Magdalena was cancelled due to strong winds , we had to find alternative activities for the day. At the plaza the tourist office staff was very helpful in helping planning the day. Nice to spend some time at the plaza with all the locals between the souvenir stands and he statue of Hernando de Magelhanes.;Step 1: tourists/management (staff interaction implied). Step 2: no future gap (appreciation for current help). Step 3: no actionable change requested. NON-SUGGESTION;NON-SUGGESTION;ok
This is one of the places you can not miss on a visit to Santiago in a family trip or for business. Besides the views of the city and the andes mountains you will enjoy the ride of the cable car or the tram. I recommend to use both , one to go up and the other to go down;Best view of Santiago . Take the cable car or the tram;en;en;en;en;0.8467158087684188;This is one of the places you can not miss on a visit to Santiago in a family trip or for business. Besides the views of the city and the andes mountains you will enjoy the ride of the cable car or the tram. I recommend to use both , one to go up and the other to go down;Step 1: tourists. Step 2: no future gap. Step 3: actionable advice for other tourists. NON-SUGGESTION;NON-SUGGESTION;ok
